t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.050 1.00e+00 1.00e+00 1.63e-12
0.100 1.01e+00 1.01e+00 1.65e-11
0.150 1.02e+00 1.02e+00 3.13e-06
0.200 1.04e+00 1.04e+00 6.46e-06
0.250 1.06e+00 1.06e+00 1.01e-05
0.300 1.09e+00 1.09e+00 1.42e-05
0.350 1.13e+00 1.13e+00 1.89e-05
0.400 1.17e+00 1.17e+00 2.43e-05
0.450 1.22e+00 1.22e+00 3.07e-05
0.500 1.28e+00 1.28e+00 3.83e-05
0.550 1.35e+00 1.35e+00 4.73e-05
0.600 1.43e+00 1.43e+00 5.82e-05
0.650 1.53e+00 1.53e+00 7.14e-05
0.700 1.63e+00 1.63e+00 8.75e-05
0.750 1.76e+00 1.76e+00 1.07e-04
0.800 1.90e+00 1.90e+00 1.31e-04
0.850 2.06e+00 2.06e+00 1.60e-04
0.900 2.25e+00 2.25e+00 1.97e-04
0.950 2.47e+00 2.47e+00 2.41e-04
1.000 2.72e+00 2.72e+00 2.97e-04
