t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.050 1.00e+00 1.00e+00 1.63e-12
0.100 1.01e+00 1.01e+00 3.19e-06
0.150 1.02e+00 1.02e+00 6.57e-06
0.200 1.04e+00 1.04e+00 1.02e-05
0.250 1.06e+00 1.06e+00 1.43e-05
0.300 1.09e+00 1.09e+00 1.91e-05
0.350 1.13e+00 1.13e+00 2.45e-05
0.400 1.17e+00 1.17e+00 3.10e-05
0.450 1.22e+00 1.22e+00 3.88e-05
0.500 1.28e+00 1.28e+00 4.81e-05
0.550 1.35e+00 1.35e+00 5.95e-05
0.600 1.43e+00 1.43e+00 7.34e-05
0.650 1.53e+00 1.53e+00 9.06e-05
0.700 1.63e+00 1.63e+00 1.12e-04
0.750 1.76e+00 1.76e+00 1.38e-04
0.800 1.90e+00 1.90e+00 1.71e-04
0.850 2.06e+00 2.06e+00 2.11e-04
0.900 2.25e+00 2.25e+00 2.62e-04
0.950 2.47e+00 2.47e+00 3.26e-04
1.000 2.72e+00 2.72e+00 4.07e-04
