t y_числен y_аналит |y_числен-y_аналит|
0.000 1.00e+00 1.00e+00 0.00e+00
0.025 1.00e+00 1.00e+00 6.22e-15
0.050 1.00e+00 1.00e+00 6.39e-14
0.075 1.01e+00 1.01e+00 2.26e-13
0.100 1.01e+00 1.01e+00 2.08e-09
0.125 1.02e+00 1.02e+00 4.95e-09
0.150 1.02e+00 1.02e+00 8.64e-09
0.175 1.03e+00 1.03e+00 1.32e-08
0.200 1.04e+00 1.04e+00 1.86e-08
0.225 1.05e+00 1.05e+00 2.50e-08
0.250 1.06e+00 1.06e+00 3.24e-08
0.275 1.08e+00 1.08e+00 4.09e-08
0.300 1.09e+00 1.09e+00 5.06e-08
0.325 1.11e+00 1.11e+00 6.17e-08
0.350 1.13e+00 1.13e+00 7.41e-08
0.375 1.15e+00 1.15e+00 8.82e-08
0.400 1.17e+00 1.17e+00 1.04e-07
0.425 1.20e+00 1.20e+00 1.22e-07
0.450 1.22e+00 1.22e+00 1.42e-07
0.475 1.25e+00 1.25e+00 1.64e-07
0.500 1.28e+00 1.28e+00 1.89e-07
0.525 1.32e+00 1.32e+00 2.17e-07
0.550 1.35e+00 1.35e+00 2.48e-07
0.575 1.39e+00 1.39e+00 2.83e-07
0.600 1.43e+00 1.43e+00 3.22e-07
0.625 1.48e+00 1.48e+00 3.65e-07
0.650 1.53e+00 1.53e+00 4.14e-07
0.675 1.58e+00 1.58e+00 4.69e-07
0.700 1.63e+00 1.63e+00 5.30e-07
0.725 1.69e+00 1.69e+00 5.99e-07
0.750 1.76e+00 1.76e+00 6.76e-07
0.775 1.82e+00 1.82e+00 7.62e-07
0.800 1.90e+00 1.90e+00 8.59e-07
0.825 1.98e+00 1.98e+00 9.67e-07
0.850 2.06e+00 2.06e+00 1.09e-06
0.875 2.15e+00 2.15e+00 1.23e-06
0.900 2.25e+00 2.25e+00 1.38e-06
0.925 2.35e+00 2.35e+00 1.55e-06
0.950 2.47e+00 2.47e+00 1.75e-06
0.975 2.59e+00 2.59e+00 1.97e-06
1.000 2.72e+00 2.72e+00 2.21e-06
